employee_id,attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,RelationshipSatisfaction,TrainingTimesLastYear,OverTime_flag,DistanceFromHome,BusinessTravel_freq,JobLevel,StockOptionLevel,NumCompaniesWorked,YearsWithCurrManager
EMP4,1,3,4,2,3,2,3,1,2,1,1,0,6,0
EMP7,0,2,1,3,3,4,3,0,2,1,1,1,9,2
EMP10,0,1,3,4,2,1,3,1,3,1,1,3,4,0
EMP11,0,3,4,3,3,2,2,0,24,1,1,1,1,0
EMP18,0,4,2,3,3,3,2,0,19,1,1,1,0,2
EMP22,0,4,4,4,2,2,2,1,16,0,1,2,1,0
EMP30,0,4,3,3,3,4,6,0,15,1,1,0,1,0
EMP38,0,1,2,3,2,4,2,0,2,1,5,0,3,1
EMP39,0,4,3,3,3,4,3,0,2,1,1,0,4,0
EMP42,1,4,4,3,4,3,6,0,5,1,2,1,3,0
EMP45,1,4,2,3,2,1,2,1,1,1,1,1,2,0
EMP49,0,4,4,3,3,1,3,0,2,1,1,0,1,2
EMP51,0,1,2,2,4,4,3,1,5,1,1,1,9,0
EMP53,0,4,3,3,3,3,3,0,4,1,1,1,1,0
EMP54,0,1,4,3,3,4,6,0,2,1,1,1,1,0
EMP55,1,3,1,1,2,3,2,0,25,1,1,0,1,1
EMP61,0,2,2,3,3,1,1,0,19,1,1,0,4,0
EMP63,0,4,4,4,3,4,2,0,8,1,1,0,1,1
EMP64,1,3,1,2,3,4,2,1,1,1,3,0,9,0
EMP65,1,3,3,3,2,3,3,1,5,1,1,0,1,2
EMP72,0,4,3,2,2,3,2,1,23,1,2,1,7,0
EMP75,0,1,3,3,3,3,3,1,23,1,1,1,3,2
EMP86,0,1,2,3,3,3,2,0,7,1,3,1,2,0
EMP90,1,3,4,2,2,1,0,1,9,1,1,1,0,0
EMP95,0,2,3,3,3,2,4,0,1,1,1,0,1,0
EMP97,0,4,2,4,3,2,3,0,6,1,1,0,3,0
EMP101,0,1,4,3,4,2,3,1,6,1,3,0,4,0
EMP106,0,4,1,3,3,4,4,0,1,1,3,1,3,0
EMP113,0,1,3,3,3,3,3,0,2,1,1,1,3,0
EMP134,0,1,4,3,3,4,2,0,1,1,1,0,1,0
EMP137,1,4,4,2,3,2,5,1,6,2,1,0,1,0
EMP139,0,4,3,2,4,4,2,0,2,0,2,1,5,0
EMP143,0,4,4,2,3,3,2,0,7,1,1,2,1,1
EMP144,0,4,2,3,3,3,5,0,15,1,1,0,1,0
EMP151,0,2,3,2,3,3,3,0,6,1,2,1,6,0
EMP155,0,4,1,3,3,1,2,0,3,1,1,1,5,0
EMP167,1,3,4,3,2,4,2,1,22,1,1,0,1,0
EMP169,0,4,3,3,3,3,2,0,2,1,1,1,0,1
EMP174,0,4,3,3,3,4,3,0,12,2,3,0,4,1
EMP175,1,3,2,1,3,3,2,1,20,1,2,1,3,2
EMP183,0,3,1,2,3,4,3,0,28,1,2,0,2,2
EMP201,0,2,2,3,3,4,3,0,3,1,1,0,1,0
EMP211,0,3,2,2,3,3,2,0,7,1,2,0,2,0
EMP214,0,2,2,2,2,2,3,1,9,1,1,1,4,0
EMP217,0,4,3,3,3,1,6,0,19,1,1,2,1,2
