employee_id,attrition_probability,risk_level,recommendation,action_taken,escalated,evidence,targets_drivers,cited_features,status,tool_calls
EMP468,0.1043,Low,,False,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Commute distance is 23 vs cohort mean 9.1 (89th percentile, worst 11% of the cohort), contributing +0.78 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['EnvironmentSatisfaction', 'DistanceFromHome', 'StockOptionLevel']",NO_ACTION,5
EMP1108,0.987,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Commute distance is 25 vs cohort mean 9.1 (94th percentile, worst 6% of the cohort), contributing +0.90 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'EnvironmentSatisfaction', 'DistanceFromHome', 'JobLevel']",APPROVED_FOR_REVIEW,8
EMP63,0.0424,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['JobLevel', 'StockOptionLevel']",NO_ACTION,4
EMP1270,0.0469,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],['JobLevel'],NO_ACTION,3
EMP1156,0.1127,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['JobLevel', 'StockOptionLevel']",NO_ACTION,4
EMP1871,0.0167,Low,,False,False,"['Commute distance is 19 vs cohort mean 9.1 (83rd percentile, worst 17% of the cohort), contributing +0.56 to the risk logit.']",[],['DistanceFromHome'],NO_ACTION,3
EMP826,0.0597,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['JobLevel', 'StockOptionLevel']",NO_ACTION,4
EMP42,0.013,Low,,False,False,[],[],[],NO_ACTION,2
EMP538,0.432,Medium,Assign an onboarding mentor,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",['JobSatisfaction'],"['EnvironmentSatisfaction', 'JobSatisfaction', 'JobLevel']",APPROVED_FOR_REVIEW,8
EMP544,0.1422,Low,,False,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],"['EnvironmentSatisfaction', 'JobLevel']",NO_ACTION,4
