employee_id,attrition_probability,risk_level,recommendation,action_taken,evidence,targets_drivers,cited_features,escalated,tool_calls
EMP468,0.1043,Low,,False,[],[],[],False,0
EMP1108,0.987,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['TrainingTimesLastYear is 0 vs cohort mean 2.80 (z=-2.07).'],[],['TrainingTimesLastYear'],False,0
EMP63,0.0424,Low,,False,[],[],[],False,0
EMP1270,0.0469,Low,,False,[],[],[],False,0
EMP1156,0.1127,Low,,False,[],[],[],False,0
EMP1871,0.0167,Low,,False,[],[],[],False,0
EMP826,0.0597,Low,,False,[],[],[],False,0
EMP42,0.013,Low,,False,[],[],[],False,0
EMP538,0.432,Medium,Increase manager check-in frequency to weekly,True,['JobSatisfaction is 1 vs cohort mean 2.76 (z=-1.62).'],[],['JobSatisfaction'],False,0
EMP544,0.1422,Low,,False,[],[],[],False,0
EMP1734,0.8017,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['JobInvolvement is 1 vs cohort mean 2.66 (z=-2.32).'],[],['JobInvolvement'],False,0
EMP4,0.7904,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['OverTime_flag is 1 vs cohort mean 0.30 (z=+1.51).'],[],['OverTime_flag'],False,0
EMP911,0.9541,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['WorkLifeBalance is 1 vs cohort mean 2.75 (z=-2.50).'],[],['WorkLifeBalance'],False,0
EMP1466,0.059,Low,,False,[],[],[],False,0
EMP684,0.7488,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['DistanceFromHome is 26 vs cohort mean 9.10 (z=+2.14).'],[],['DistanceFromHome'],False,0
EMP364,0.6412,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['WorkLifeBalance is 1 vs cohort mean 2.75 (z=-2.50).'],[],['WorkLifeBalance'],False,0
EMP1780,0.6515,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['NumCompaniesWorked is 1 vs cohort mean 3.16 (z=-0.85).'],[],['NumCompaniesWorked'],False,0
EMP241,0.6692,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['JobSatisfaction is 1 vs cohort mean 2.76 (z=-1.62).'],[],['JobSatisfaction'],False,0
EMP424,0.6394,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['JobSatisfaction is 1 vs cohort mean 2.76 (z=-1.62).'],[],['JobSatisfaction'],False,0
EMP243,0.4881,Medium,Increase manager check-in frequency to weekly,True,['JobSatisfaction is 4 vs cohort mean 2.76 (z=+1.14).'],[],['JobSatisfaction'],False,0
EMP1016,0.9479,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['RelationshipSatisfaction is 1 vs cohort mean 2.77 (z=-1.69).'],[],['RelationshipSatisfaction'],False,0
EMP832,0.7925,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['TrainingTimesLastYear is 6 vs cohort mean 2.80 (z=+2.36).'],[],['TrainingTimesLastYear'],False,0
EMP1495,0.0819,Low,,False,[],[],[],False,0
EMP1731,0.0459,Low,,False,[],[],[],False,0
EMP106,0.0256,Low,,False,[],[],[],False,0
EMP1542,0.4878,Medium,Increase manager check-in frequency to weekly,True,['JobInvolvement is 2 vs cohort mean 2.66 (z=-0.92).'],[],['JobInvolvement'],False,0
EMP986,0.1019,Low,,False,[],[],[],False,0
EMP90,0.8521,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['TrainingTimesLastYear is 0 vs cohort mean 2.80 (z=-2.07).'],[],['TrainingTimesLastYear'],False,0
EMP792,0.9265,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['JobInvolvement is 1 vs cohort mean 2.66 (z=-2.32).'],[],['JobInvolvement'],False,0
EMP1674,0.7853,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['JobSatisfaction is 1 vs cohort mean 2.76 (z=-1.62).'],[],['JobSatisfaction'],False,0
EMP1030,0.5925,Medium,Increase manager check-in frequency to weekly,True,['TrainingTimesLastYear is 5 vs cohort mean 2.80 (z=+1.62).'],[],['TrainingTimesLastYear'],False,0
