employee_id,actual_attrition,flagged,d1_correct_triage,d2_evidence_present,d3_evidence_verifiable,d4_action_has_mechanism,d5_proportionate,case_score,unverifiable_evidence,wasted_intervention,caught_leaver,caught_with_verified_evidence
EMP468,0,False,1,0,0,1,1,3,0,False,False,False
EMP1108,1,True,1,1,1,0,1,4,0,False,True,True
EMP63,0,False,1,0,0,1,1,3,0,False,False,False
EMP1270,0,False,1,0,0,1,1,3,0,False,False,False
EMP1156,1,False,0,0,0,0,1,1,0,False,False,False
EMP1871,0,False,1,0,0,1,1,3,0,False,False,False
EMP826,0,False,1,0,0,1,1,3,0,False,False,False
EMP42,1,False,0,0,0,0,1,1,0,False,False,False
EMP538,1,True,1,1,1,0,1,4,0,False,True,True
EMP544,0,False,1,0,0,1,1,3,0,False,False,False
EMP1734,1,True,1,1,1,0,1,4,0,False,True,True
EMP4,1,True,1,1,1,0,1,4,0,False,True,True
EMP911,1,True,1,1,1,0,1,4,0,False,True,True
EMP1466,0,False,1,0,0,1,1,3,0,False,False,False
EMP684,1,True,1,1,1,0,1,4,0,False,True,True
EMP364,1,True,1,1,1,0,1,4,0,False,True,True
EMP1780,1,True,1,1,1,0,1,4,0,False,True,True
EMP241,0,True,0,1,1,0,1,3,0,True,False,False
EMP424,0,True,0,1,1,0,1,3,0,True,False,False
EMP243,1,True,1,1,1,0,1,4,0,False,True,True
EMP1016,1,True,1,1,1,0,1,4,0,False,True,True
EMP832,0,True,0,1,1,0,1,3,0,True,False,False
EMP1495,0,False,1,0,0,1,1,3,0,False,False,False
EMP1731,0,False,1,0,0,1,1,3,0,False,False,False
EMP106,0,False,1,0,0,1,1,3,0,False,False,False
EMP1542,0,True,0,1,1,0,1,3,0,True,False,False
EMP986,1,False,0,0,0,0,1,1,0,False,False,False
EMP90,1,True,1,1,1,0,1,4,0,False,True,True
EMP792,0,True,0,1,1,0,1,3,0,True,False,False
EMP1674,0,True,0,1,1,0,1,3,0,True,False,False
EMP1030,0,True,0,1,1,0,1,3,0,True,False,False
EMP1803,0,False,1,0,0,1,1,3,0,False,False,False
EMP393,0,False,1,0,0,1,1,3,0,False,False,False
EMP2012,0,False,1,0,0,1,1,3,0,False,False,False
EMP1585,0,False,1,0,0,1,1,3,0,False,False,False
EMP167,1,True,1,1,1,0,1,4,0,False,True,True
EMP1601,0,False,1,0,0,1,1,3,0,False,False,False
EMP353,0,True,0,1,1,0,1,3,0,True,False,False
EMP235,1,True,1,1,1,0,1,4,0,False,True,True
EMP1839,0,False,1,0,0,1,1,3,0,False,False,False
EMP954,0,True,0,1,1,0,1,3,0,True,False,False
EMP49,0,False,1,0,0,1,1,3,0,False,False,False
EMP2048,0,False,1,0,0,1,1,3,0,False,False,False
EMP1036,0,True,0,1,1,0,1,3,0,True,False,False
EMP1933,1,False,0,0,0,0,1,1,0,False,False,False
EMP578,0,False,1,0,0,1,1,3,0,False,False,False
EMP1592,0,False,1,0,0,1,1,3,0,False,False,False
EMP467,0,True,0,1,1,0,1,3,0,True,False,False
EMP1844,1,True,1,1,1,0,1,4,0,False,True,True
EMP918,1,True,1,1,1,0,1,4,0,False,True,True
EMP473,0,True,0,1,1,0,1,3,0,True,False,False
EMP72,0,True,0,1,1,0,1,3,0,True,False,False
EMP445,1,True,1,1,1,0,1,4,0,False,True,True
EMP680,0,True,0,1,1,0,1,3,0,True,False,False
EMP1060,0,True,0,1,1,0,1,3,0,True,False,False
EMP648,1,True,1,1,1,0,1,4,0,False,True,True
EMP407,0,False,1,0,0,1,1,3,0,False,False,False
EMP1591,0,False,1,0,0,1,1,3,0,False,False,False
EMP771,0,False,1,0,0,1,1,3,0,False,False,False
EMP1687,0,False,1,0,0,1,1,3,0,False,False,False
EMP1992,0,False,1,0,0,1,1,3,0,False,False,False
EMP784,0,False,1,0,0,1,1,3,0,False,False,False
EMP95,0,True,0,1,1,0,1,3,0,True,False,False
EMP1263,0,False,1,0,0,1,1,3,0,False,False,False
EMP1766,0,True,0,1,1,0,1,3,0,True,False,False
EMP920,0,False,1,0,0,1,1,3,0,False,False,False
EMP1714,1,True,1,1,1,0,1,4,0,False,True,True
EMP816,1,True,1,1,1,0,1,4,0,False,True,True
EMP556,0,True,0,1,1,0,1,3,0,True,False,False
EMP10,0,True,0,1,1,0,1,3,0,True,False,False
EMP1935,0,False,1,0,0,1,1,3,0,False,False,False
EMP1746,0,True,0,1,1,0,1,3,0,True,False,False
EMP1044,0,False,1,0,0,1,1,3,0,False,False,False
EMP1379,1,True,1,1,1,0,1,4,0,False,True,True
EMP113,0,True,0,1,1,0,1,3,0,True,False,False
EMP1801,0,False,1,0,0,1,1,3,0,False,False,False
EMP701,1,True,1,1,1,0,1,4,0,False,True,True
EMP1215,0,False,1,0,0,1,1,3,0,False,False,False
EMP1206,0,False,1,0,0,1,1,3,0,False,False,False
EMP487,0,False,1,0,0,1,1,3,0,False,False,False
EMP675,0,False,1,0,0,1,1,3,0,False,False,False
EMP1364,0,False,1,0,0,1,1,3,0,False,False,False
EMP1683,0,False,1,0,0,1,1,3,0,False,False,False
EMP732,0,True,0,1,1,0,1,3,0,True,False,False
EMP923,1,True,1,1,1,0,1,4,0,False,True,True
EMP1966,0,False,1,0,0,1,1,3,0,False,False,False
